day,platform,video,hook,campaign,start_parameter,caption
1,TikTok,1,AI ответил не как робот,org_video_01,src_tiktok__cmp_org_video_01,"Проверь, сможет ли бот говорить нормально. Ссылка в профиле."
1,Reels,10,Не знаешь что написать,org_video_10,src_instagram__cmp_reels_video_10,"Выбери одну фразу и отправь в бота."
2,TikTok,2,Захочешь ли ответить вторым сообщением,org_video_02,src_tiktok__cmp_org_video_02,"AI-компаньон с памятью диалога. Попробуй бесплатно."
2,Reels,7,Собери меня в фокус на час,org_video_07,src_instagram__cmp_reels_video_07,"Сохрани промпт и попробуй в боте."
3,TikTok,3,2:13 ночи голова не выключается,org_video_03,src_tiktok__cmp_org_video_03,"Когда в голове шумно, начни с одной фразы."
3,Reels,5,Когда бот задает один вопрос 5 раз,org_video_05,src_instagram__cmp_reels_video_05,"AI-диалог без шаблонного круга. Ссылка в профиле."
4,TikTok,6,Есть два варианта и оба страшные,org_video_06,src_tiktok__cmp_org_video_06,"Для решений, которые нельзя разрулить одним списком плюсов и минусов."
4,Reels,9,Обычный AI дает 10 советов,org_video_09,src_instagram__cmp_reels_video_09,"Не справочник. Собеседник."
5,TikTok,4,Free Pro Premium за что платить,org_video_04,src_tiktok__cmp_org_video_04,"Не плати до того, как почувствуешь формат. Начни бесплатно."
5,Reels,8,Разговор не начинается с нуля,org_video_08,src_instagram__cmp_reels_video_08,"Pro/Premium открывают память контекста."
6,TikTok,11,Это не замена людям,org_video_11,src_tiktok__cmp_org_video_11,"Приватный AI-диалог, когда нужно собрать мысль."
6,Reels,best_repost,Повтор лучшего ролика недели,org_best_01,src_instagram__cmp_reels_best_01,"Лучший ролик недели. Проверь бота по ссылке в профиле."
7,TikTok,12,Premium покупают чтобы не потерять нить,org_video_12,src_tiktok__cmp_org_video_12,"Сначала попробуй бесплатно. Потом реши, нужна ли глубина."
7,Reels,founder,Мы улучшаем бота live,org_founder_01,src_instagram__cmp_reels_founder_01,"Показываем, как делаем AI-диалог менее роботским."
